Serial setup.
Timer 1 setup for 25 kHz PWM.
Tachometer setup.
Timer 1 setup for control loop.
Fan OFF.
Fan ON.
Fan OFF.
Fan ON.
A1 = 269,	 pwm = 84,	 tach = 98
A1 = 269,	 pwm = 84,	 tach = 3
A1 = 268,	 pwm = 83,	 tach = 4
A1 = 268,	 pwm = 83,	 tach = 5
A1 = 269,	 pwm = 84,	 tach = 5
A1 = 269,	 pwm = 84,	 tach = 5
A1 = 269,	 pwm = 84,	 tach = 5
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 5
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 5
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 7
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 7
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 7
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 7
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 7
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 5
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 7
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 7
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 7
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 7
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 7
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 7
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 7
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 7
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 8
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 7
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 269,	 pwm = 84,	 tach = 6
